prompt,cluster,sub_class
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking booking and reservation assistance under the category of travel and leisure.,Travel and Leisure,Booking and Reservation Assistance
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
Create a detailed response for a user seeking api integration under the category of programming and development.,Programming and Development,API Integration
